enrollment_no,subject_name,faculty_name,internal_marks,viva_marks,external_marks,semester
BCA-101,Programming in C,Prof. Sunitha Nair,25,8,52,1
BCA-101,Mathematics-I,Prof. Vikram Singh,20,7,48,1
BCA-101,Communication Skills,Dr. Kavita Rao,22,9,55,1
BCA-102,Programming in C,Prof. Sunitha Nair,28,9,58,1
BCA-102,Mathematics-I,Prof. Vikram Singh,24,8,50,1
BCA-102,Communication Skills,Dr. Kavita Rao,26,9,52,1
BCA-103,Programming in C,Prof. Sunitha Nair,22,7,45,1
BCA-103,Mathematics-I,Prof. Vikram Singh,18,6,42,1
BCA-103,Communication Skills,Dr. Kavita Rao,20,8,48,1
MCA-101,Advanced Java,Dr. Rajesh Kumar,25,9,55,1
MCA-101,OS & Linux,Dr. Priya Verma,24,8,52,1
MCA-101,Discrete Math,Prof. Suresh Menon,22,7,50,1
MCA-102,Advanced Java,Dr. Rajesh Kumar,28,9,58,1
MCA-102,OS & Linux,Dr. Priya Verma,26,9,55,1
MCA-102,Discrete Math,Prof. Suresh Menon,24,8,52,1
MBA-101,Marketing Management,Dr. Amit Shah,26,9,54,1
MBA-101,Micro Economics,Dr. Neha Gupta,25,8,52,1
MBA-101,Business Communication,Prof. Sanjay Patel,28,9,56,1
MBA-102,Marketing Management,Dr. Amit Shah,24,8,50,1
MBA-102,Micro Economics,Dr. Neha Gupta,23,7,48,1
MBA-102,Business Communication,Prof. Sanjay Patel,26,9,52,1
BCA-101,Data Structures,Prof. Anil Joshi,24,8,50,2
BCA-101,Mathematics-II,Prof. Rahul Sharma,22,7,48,2
BCA-101,Organization Behavior,Prof. Manish Pandey,26,9,52,2
MCA-101,Data Science,Dr. Meera Reddy,26,9,54,2
MCA-101,AI,Dr. Rajesh Kumar,28,9,56,2
MCA-101,Design & Analysis of Algorithms,Dr. Priya Verma,24,8,50,2
MBA-101,Financial Accounting,Dr. Swati Mishra,22,7,48,2
MBA-101,HR Management,Dr. Anjali Desai,25,8,52,2
MBA-101,Organizational Behavior,Dr. Amit Shah,28,9,55,2
